domain,have_IP,multi_domain,have_at,length,redirect,hyphen_present,short_url,dns,check_cert,domain_age,forwarding,anchor_urls,request_url,status
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
1337x.to,0,1,1,0,1,0,1,1,0,0,1,1,1,1
189.cn,0,1,1,0,1,1,1,1,1,1,0,0,0,1
2gis.ru,0,1,1,0,1,1,1,1,1,1,1,1,1,1
abc.go.com,0,1,1,0,1,0,1,1,1,0,1,0,0,1
abc.go.com,0,1,1,0,1,0,1,1,1,0,1,0,0,1
abcnews.go.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
adultfriendfinder.com,0,1,1,0,1,0,1,1,0,0,1,1,1,1
akhbarelyom.com,0,1,1,0,1,1,1,1,1,0,1,0,1,1
allegro.pl,1,1,1,0,1,0,1,1,1,1,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,1,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,1,1,1,0,1
allegro.pl,1,1,1,0,1,0,1,1,1,1,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,1,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,0,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,0,1,1,0,1
allegro.pl,0,1,1,0,1,0,1,1,1,0,1,1,0,1
allegro.pl,1,1,1,0,1,0,1,1,1,0,1,1,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
allrecipes.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
anandtech.com,0,1,1,0,1,0,1,1,1,1,0,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
ap.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
archiveofourown.org,0,1,1,0,1,0,1,1,1,1,1,1,1,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
askubuntu.com,0,1,1,0,1,0,1,1,1,0,1,0.5,0,1
atwiki.jp,0,1,1,0,1,1,1,1,1,0,0,0,0,1
avxhome.se,1,1,1,0,1,0,1,1,1,1,1,1,0.5,1
babal.net,0,1,1,0,1,0,1,1,1,0,0,0,0,1
babal.net,0,1,1,0,1,0,1,1,1,0,1,1,1,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bdnews24.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bestblackhatforum.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
bestblackhatforum.com,1,1,1,0,1,0,1,1,1,0,1,1,1,1
bestblackhatforum.com,1,1,1,0,1,0,1,1,1,0,1,0.5,1,1
bestblackhatforum.com,1,1,1,0,1,0,1,1,1,0,1,1,1,1
bgr.com,0,1,1,0,1,0,1,1,1,1,1,1,0.5,1
bigcinema.tv,0,1,1,0,1,0,1,1,0,0,0,0,0,1
bigcinema.tv,0,1,1,0,1,0,1,1,0,0,0,0,0,1
bigcinema.tv,0,1,1,0,1,0,1,1,0,0,0,0,0,1
bleacherreport.com,0,1,1,0,1,0,1,1,0,1,1,1,1,1
bmi.ir,1,1,1,0,1,1,1,1,0,0,0,0,0,1
bongda88.info,0,1,1,0,1,0,1,1,1,1,1,0.5,1,1
bongda88.info,1,1,1,0,1,0,1,1,1,1,1,0.5,1,1
bongda88.info,0,1,1,0,1,0,1,1,1,1,1,0.5,1,1
bongda88.info,1,1,1,0,1,0,1,1,1,1,1,0.5,1,1
bongda88.info,0,1,1,0,1,0,1,1,1,1,1,0.5,1,1
caixa.gov.br,1,1,1,0,1,0,1,1,1,0,0,0,0,1
caixa.gov.br,1,1,1,0,1,0,1,1,1,0,0,0,0,1
caixa.gov.br,0,1,1,0,1,1,1,1,1,0,0,0,0,1
caixa.gov.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
caixa.gov.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
censor.net.ua,0,1,1,0,1,1,1,1,1,1,1,1,1,1
censor.net.ua,0,1,1,0,1,1,1,1,1,1,1,1,1,1
censor.net.ua,0,1,1,0,1,1,1,1,1,1,1,1,1,1
cheezburger.com,0,1,1,0,1,0,1,1,1,0,1,0,0.5,1
clien.net,1,1,1,0,1,1,1,1,1,0,1,1,1,1
clien.net,1,1,1,0,1,1,1,1,1,0,1,1,1,1
clien.net,1,1,1,0,1,1,1,1,1,0,1,1,1,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,0,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,0,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
codecanyon.net,0,1,1,0,1,0,1,1,1,1,1,1,0,1
comicbook.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
correios.com.br,1,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,1,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,0,1,1,0,1,0,1,1,1,0,0,0,0,1
correios.com.br,1,1,1,0,1,0,1,1,1,0,1,0,0,1
correios.com.br,1,1,1,0,1,0,1,1,1,0,1,0,0,1
couchtuner.eu.com,0,1,1,0,1,0,1,0,0,0,1,1,1,1
couchtuner.eu.com,0,1,1,0,1,0,1,0,0,0,1,1,1,1
couchtuner.eu.com,0,1,1,0,1,0,1,0,0,0,1,1,1,1
cox.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
cox.com,1,1,1,0,1,1,1,1,1,0,1,1,1,1
dantri.com.vn,0,1,1,0,1,0,1,1,1,0,1,1,0,1
dantri.com.vn,0,1,1,0,1,0,1,1,1,0,1,1,0,1
dantri.com.vn,0,1,1,0,1,0,1,1,1,0,1,1,0,1
dantri.com.vn,0,1,1,0,1,0,1,1,1,0,1,1,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
deadspin.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
depositphotos.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
digg.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
digg.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
digg.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
digg.com,1,1,1,0,1,0,1,1,1,1,1,1,0,1
digg.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
diply.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,0,1,1,1,1
diply.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,0,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,0,0,0,1
diply.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
distractify.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
distractify.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
distractify.com,1,1,1,0,1,0,1,1,1,1,0,0,0,1
duckduckgo.com,0,1,1,0,1,0,1,1,1,1,1,1,1,1
eenadu.net,0,1,1,0,1,0,1,1,1,1,0,0,0,1
eenadu.net,0,1,1,0,1,0,1,1,1,1,0,0,0,1
eenadu.net,0,1,1,0,1,0,1,1,1,1,0,0,0,1
eenadu.net,0,1,1,0,1,0,1,1,1,1,0,0,0,1
eenadu.net,0,1,1,0,1,0,1,1,1,1,0,0,0,1
elevenia.co.id,1,1,1,0,1,1,1,1,0,1,0,0,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,1,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,0,0.5,0,1
elitedaily.com,0,1,1,0,1,0,1,1,1,1,1,1,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,0,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,1,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,0,1,1,0,1,0,1,1,0,1,0,0,0,1
emgn.com,1,1,1,0,1,0,1,1,0,1,0,0,0,1
